Category,Sentiment,Aggregated_Tweets
HIMS,Neutral,"The rebound portfolio in building during this SALE: 
$AMD
$TSLA 
$SOFI 
$HOOD
$HIMS 
I believe the rallies will melt faces when we pump again Wondering if the $HIMS and $TALK bulls will now take a second look at $LFMD given the Q4 Results Mega Beat + 2025 Guide and cheap valuation...
Probably not but they should IMO... Looking at $HIMS up 2% pre-market. 
$40 today? $HIMS to $69 TODAY!!!! $HIMS $LMND $ASTS $FUBO $ABCL $HIMS is green $HIMS Revenue (2020-2025):
2020: $148M
2021: $271M
2022: $526M
2023: $872M
2024: $1.4B
2025: $2.3B - $2.4B

Yet, its FwD P/S is 3 (NTM)

By the end of 2025, I expect the stock price to be $100 to $150 or PS of 9 to 13.7."
HIMS,Positive,"If you have at least 10 years experience owning $TSLA you may want to thoroughly research $HIMS which has a market cap of $7B. Now if $GRAB can just go up 5% today I’ll have one of my best days on the stock market ever .
$NIO $XPEV $GRAB $HIMS $SOFI $LCID $BABA $HIMS 15 Analysts have determined that $HIMS Fair Value is $126.58
75.1% undervalued.
Based on the Discounted Cash Flow Model, which I believe to be the most accurate. $HIMS marketing is unbeatable.
Was watching The Iced Coffee Hour podcast and they paused to do a promo for $HIMS hair loss treatments.
This podcast episode has 540k views in 4 days.
I love this company and can’t wait to continue following their insane growth story. Just uploaded a new YouTube video on $HIMS
This is probably the most extensive video I've made on $HIMS, so if you liked it, please do me a huge favor and like and repost it.
If you prefer to watch it on YouTube, here's the link: https://youtu.be/R_ysmlUPNIw $HIMS opportunity for next week $HIMS is the most undervalued stock in the U.S stock market currently but this won’t last long.
Analysts have a fair value set for $HIMS at $126 with the majority of them agreeing that HIMS is undervalued.
$150+ incoming for $HIMS very soon.
Mark my words… Excellent
$HIMS $HIMS Protect Your Gains
Our PINK candles are simple and actionable. It's a no brainer and anxiety-free. $HIMS can easily hit $100 by the end of the year. $HIMS is a $100 stock.
At $33 it’s free money. Another day to add $HIMS to your portfolio while it's under $35/share. 
We used to pray for times like this. Probably the most epic call out so far.

And yes, $HIMS hit $69 this day.

I don’t make the rules, I just like the stock. These are high-potential disruptors in various sectors — tech, biotech, AI, sustainability, and consumer.

10 SMALL-CAP & MID-CAP STOCKS WORTH WATCHING UNDER $10B 

$HIMS | Hims & Hers Health
$DUOL | Duolingo
$RXRX | Recursion Pharmaceuticals

$BIRD | Allbirds"
INDI,Negative,"You're not ready anon.... 
$INDI $S $INDI indie Semi. wth a golden opportunity here at a double bottom. https://seekingalpha.com/article/4761384-indie-semiconductor-golden-opportunity…"
INDI,Neutral,"$INDI Change your heart anon...
$INDI
$GDAY
$TEED
$LOLA
$WUPIUPI
$HAL How to MemeFi your $INDI on 
@MetropolisDEX
 

Currently at 287% APR | Start Earning Now! 

$S $INDI $METRO"
INDI,Positive,"The $INDI community is creating something incredible and I am increasingly inspired by it. 
It goes beyond this cycle or playing pumps. 
Remember, some of what we are surrounded by is actually going to change things forever."
LYFT,Neutral,"#FastMoneyEspresso
FINAL CALLS:
Guy Adami —> buy $C
Karen Federman —> buy $OIH
Dan Nathan —> buy $LYFT, a takeout candidate
Steve Grasso —> buy $IBM $DIS $FUBO 
$BX $NVDA $GOOGL $UPS $DIS $ELF $UBER $CMG $S $DNOW $LYFT $RUM $ESOA $SNAP $CLF $APLD $F $NNOX $PSQH $COTY $LYFT Buy recommendation from The Information 
Investors Should Buy the Dip, Ride the Lyft
https://theinformation.com/articles/investors-should-buy-the-dip-ride-the-lyft?utm_source=slack&utm_medium=backchannel&utm_campaign=article_notification&utm_content=article-14634&rc=1tqt8x… $LYFT
Lyft, yaşlılar için basitleştirilmiş araç paylaşım uygulaması geliştirdiğini açıkladı I started to accumulate #lyft stock $LYFT. I think it's time and it can double in a couple of weeks. 𝐉𝐔𝐒𝐓 𝐈𝐍: Waymo and $UBER Uber Launch Robotaxi Service in Austin for Seamless Autonomous Rides 
$TSLA $LYFT $GOOGL $BIDU $PONY $WRD"
LYFT,Positive,"Former $LYFT exec: ""Everyone's just like, 'Jesus Christ, sell this company. Please let this company get sold.' ... I just don't think it's a case of a company that can continue to exist on its own on a long-term basis."" $LYFT
""Investors Should Buy the Dip, Ride the Lyft"" - The Information
https://theinformation.com/articles/investors-should-buy-the-dip-ride-the-lyft…
Lyft (LYFT) and Uber have finally become profitable. For every ride hailed on Lyft (LYFT), the company now earns 2.4% before interest, taxes, depreciation and amortization, whereas it $UBER Uber Expands Grocery Delivery, Adds FreshDirect to Uber Eats for First-Time  Third-Party Access $LYFT $LYFT - Lyft: Deep Value In Ride Share With GAAP Profitability. https://seekingalpha.com/article/4767768-lyft-deep-value-in-ride-share-with-gaap-profitability?source=feed_f&utm_campaign=twitter_automated&utm_content=article&utm_medium=social&utm_source=twitter_automated… #markets #business #stockmarket"
PDD,Negative,"China's consumer inflation dropped into negative territory in February, marking the first decline in 13 months. $BABA $PDD $FUTU Can’t believe 
@MartinShkreli
 cloned my $PDD trade
Unbelievable. 
Shoulda gotten a finders fee for that shit When markets have been selling off but you’re overweight China stocks from the local bottom $BABA $PDD $XPEV $KWEB $FXI You are not prepared for what is to come. $PDD"
PDD,Neutral,"Here's the only video update you need for the Chinese stock market. I made +51% on Alibaba and looking for more in the future.
I tell you exactly when to buy moving forward:  
$PDD - PinDuoDuo (TEMU)
$HSI - Hang Seng Index 
$BABA - Alibaba 
$BIDU - Baidu 
$NIO - Nio Why I'll never sell a single stock of $PDD until it hits >$1k 
This is a 10 bagger boys New shorts $GILD & $MCD, $BABA & $PDD Waiting for $PDD Q4 earnings, knowing it’ll be a double beat (while the rest of the market is imploding): The Tepper Trade on China e-commerce
If tariffs stick:
(1) Everything gets expensive -> consumers downshift spending to $TEMU ( $PDD rips )
(2) China drops QE to negate tariff impact on GDP -> EVERYTHING rips
If tariffs come off (eg trade deal) -> EVERYTHING rips Just gonna put this here from Goldman Sachs.... 
$PDD I’ve said it before 

I’ll say it again

$PDD is going to be the #1 highest performing stock in the entire Nasdaq 100 $PDD needs to go higher If $PDD rises 30% I’m a millionaire

If $PDD drops 30% I start getting liquidated 

Such is the duality of man I guess"
PDD,Positive,"$PDD VS $BABA
One is growing. NFA. No idea if this is good
But looks bullish lol $PDD FINALLY SOMEONE AGREES WITH ME
CHRIST the whole of Fintwit are degens buying $BABA > $PDD HERE ARE 5 UNDERVALUED STOCKS OF MY PORTFOLIO 
Links to my valuation models are in the comments 
1) $PDD 
Price: $123
Fair Value: $182
Potential Upside: +48%
2) $META 
Price: $608
Fair Value: $724
Potential Upside: +19%
3) $PDD doesn't give a FUCK about appeasing wall street.
GOAT tier company. 
Fuck the sell side lmfao. 
""Is $PDD bigger than $AMZN? Is it bigger than $AMZN + $WMT? Or, is it bigger than the entire Italian economy?"" $PDD 
2025 Revenue growth: 25%.
2025 FCF margins: 35%.
2025 EV/Revenue: 1.8x.
2025 EV/EBITDA: 6.3x. Day 33 of going all in on $PDD

Next week is undoubtedly the biggest week of my life. 

I’m either going to become a millionaire at age 27. 

Or I’m headed for the dumpsters behind Wendy’s. Lol. Me in exactly one week when $PDD reports earnings lol"
